PP,Blok,Condition,timestamp,Squality,Sneutral,Shappy,Ssad,Sangry,Ssurprised,Sscared,Sdisgusted,Svalence,SyHeadOrientation,SxHeadOrientation,SzHeadOrientation,SmouthOpen,SleftEyeClosed,SrightEyeClosed,SleftEyebrowLowered,SleftEyebrowRaised,SrightEyebrowLowered,SrightEyebrowRaised,SgazeDirectionForward,SgazeDirectionLeft,SgazeDirectionRight,SAu01_InnerBrowRaiser,SAu02_OuterBrowRaiser,SAu04_BrowLowerer,SAu05_UpperLidRaiser,SAu06_CheekRaiser,SAu07_LidTightener,SAu09_NoseWrinkler,SAu10_UpperLipRaiser,SAu12_LipCornerPuller,SAu14_Dimpler,SAu15_LipCornerDepressor,SAu17_ChinRaiser,SAu20_LipStretcher,SAu23_LipTightener,SAu24_LipPressor,SAu25_LipsPart,SAu26_JawDrop,SAu27_MouthStretch,SAu43_EyesClosed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP1,1,N,20120918T133100000,0,925266,0,865314,0,66000,0,11719,0,5351,0,5882,0,806,0,258,0,52020,-1,787106,-3,832197,1,987467,0,0,0,17094,0,72650,0,572650,0,115385,0,282051,0,0,0,739316,0,170940,0,38462,0,0,0,115385,0,217949,0,341880,0,0,0,0,0,21368,0,55556,0,51282,0,102564,0,0,0,0,0,0,0,38462,0,4274,0,0,0,0,0,0,0,34188,,
PP1,1,N,20120918T133200000,0,917357,0,866958,0,63833,0,15286,0,8448,0,14176,0,547,0,794,0,43806,-6,82427,-6,173536,1,187221,0,0,0,116667,0,150000,0,341667,0,283333,0,358333,0,25000,0,816667,0,120833,0,8333,0,20833,0,58333,0,279167,0,387500,0,8333,0,0,0,50000,0,75000,0,95833,0,8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233333,,
PP1,1,N,20120918T133300000,0,910778,0,865072,0,73541,0,6361,0,8636,0,3665,0,227,0,182,0,62905,-7,8756,-7,686495,2,818579,0,0,0,138075,0,100418,0,347280,0,397490,0,267782,0,0,0,698745,0,251046,0,12552,0,0,0,58577,0,87866,0,20921,0,29289,0,0,0,0,0,62762,0,0,0,71130,0,0,0,125523,0,0,0,217573,0,4184,0,0,0,0,0,0,0,179916,,
PP1,1,N,20120918T133400000,0,928930,0,898195,0,51223,0,20693,0,3407,0,3295,0,782,0,341,0,28354,-2,19332,-4,268276,1,3078,0,0,0,103896,0,103896,0,670996,0,173160,0,212121,0,0,0,870130,0,51948,0,43290,0,0,0,25974,0,346320,0,277056,0,0,0,0,0,0,0,203463,0,0,0,346320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51948,,
PP1,1,N,20120918T133500000,0,932977,0,955401,0,28105,0,25093,0,2616,0,3686,0,286,0,763,0,2882,2,370642,-4,876540,0,801751,0,0,0,29536,0,71730,0,734177,0,16878,0,308017,0,0,0,894515,0,12658,0,37975,0,16878,0,101266,0,396624,0,25316,0,0,0,0,0,46414,0,253165,0,0,0,502110,0,0,0,0,0,0,0,0,0,25316,0,0,0,0,0,0,0,253165,,
PP1,1,N,20120918T133600000,0,933145,0,959974,0,22216,0,19781,0,2662,0,5599,0,258,0,861,0,1829,0,167334,-5,892896,1,239134,0,0,0,37500,0,33333,0,562500,0,8333,0,237500,0,0,0,912500,0,37500,0,4167,0,0,0,333333,0,362500,0,83333,0,0,0,0,0,20833,0,254167,0,16667,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133333,,
PP1,1,N,20120918T133700000,0,921957,0,952583,0,24443,0,15342,0,5157,0,3093,0,273,0,2091,0,7382,-1,331209,-7,126340,1,673287,0,0,0,8547,0,64103,0,427350,0,47009,0,405983,0,0,0,901709,0,42735,0,0,0,0,0,256410,0,666667,0,21368,0,0,0,0,0,153846,0,465812,0,89744,0,213675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29915,,
PP1,1,N,20120918T133800000,0,919010,0,872517,0,55440,0,11793,0,1761,0,4518,0,632,0,804,0,43485,-1,500364,-5,82898,0,225599,0,0,0,83333,0,108333,0,629167,0,0,0,170833,0,0,0,933333,0,33333,0,8333,0,0,0,166667,0,258333,0,208333,0,0,0,0,0,41667,0,475000,0,0,0,183333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54167,,
PP1,1,N,20120918T133900000,0,902956,0,913239,0,60777,0,13855,0,5617,0,5033,0,298,0,975,0,45470,-6,613896,-6,510889,1,617636,0,0,0,288703,0,326360,0,502092,0,37657,0,292887,0,0,0,853556,0,75314,0,8368,0,0,0,322176,0,426778,0,33473,0,4184,0,0,0,62762,0,430962,0,29289,0,92050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523013,,
PP1,1,N,20120918T134000000,0,886241,0,907437,0,43196,0,15269,0,6716,0,3933,0,339,0,864,0,25869,-12,430192,-5,509172,2,372438,0,0,0,587500,0,583333,0,691667,0,0,0,233333,0,0,0,875000,0,108333,0,0,0,0,0,183333,0,100000,0,91667,0,0,0,0,0,4167,0,154167,0,0,0,145833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312500,,
PP1,1,N,20120918T134100000,0,899885,0,953284,0,17113,0,9164,0,7811,0,2761,0,288,0,970,0,2931,-6,592963,-7,227249,1,105320,0,0,0,20833,0,16667,0,729167,0,0,0,279167,0,0,0,912500,0,58333,0,0,0,0,0,133333,0,325000,0,170833,0,0,0,0,0,37500,0,200000,0,8333,0,66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167,,
PP1,1,N,20120918T134200000,0,901095,0,854864,0,50632,0,8445,0,3573,0,35196,0,383,0,492,0,40639,-5,338665,-7,167842,1,874629,0,4202,0,130252,0,222689,0,289916,0,84034,0,201681,0,16807,0,840336,0,109244,0,0,0,0,0,184874,0,96639,0,264706,0,29412,0,0,0,33613,0,88235,0,0,0,172269,0,0,0,8403,0,0,0,0,0,0,0,8403,0,0,0,0,0,457983,,
PP1,1,N,20120918T134300000,0,888233,0,845417,0,24967,0,3180,0,4498,0,8983,0,632,0,196,0,18655,-5,573273,-5,332948,1,133280,0,0,0,0,0,12500,0,204167,0,41667,0,50000,0,0,0,708333,0,162500,0,116667,0,0,0,45833,0,133333,0,820833,0,0,0,0,0,16667,0,0,0,0,0,16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,1,N,20120918T134400000,0,893313,0,905441,0,27864,0,8495,0,7027,0,3429,0,448,0,381,0,13550,-6,593678,-7,347731,3,959251,0,0,0,79167,0,29167,0,333333,0,304167,0,200000,0,0,0,704167,0,283333,0,0,0,0,0,191667,0,137500,0,66667,0,0,0,0,0,216667,0,125000,0,0,0,58333,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4167,,
PP1,1,N,20120918T134500000,0,916955,0,920367,0,26298,0,17760,0,4008,0,4381,0,862,0,2048,0,6653,-3,616605,-5,199842,2,158958,0,0,0,188285,0,62762,0,866109,0,0,0,175732,0,0,0,903766,0,54393,0,0,0,0,0,556485,0,259414,0,8368,0,0,0,0,0,92050,0,280335,0,0,0,66946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16736,,
PP1,1,N,20120918T134600000,0,900537,0,902607,0,21533,0,18360,0,7410,0,2887,0,467,0,1980,0,1305,-5,288119,-6,432981,2,858251,0,0,0,25000,0,33333,0,737500,0,137500,0,245833,0,0,0,845833,0,129167,0,8333,0,0,0,133333,0,420833,0,54167,0,0,0,0,0,8333,0,258333,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20833,,
PP1,1,N,20120918T134700000,0,912303,0,880779,0,13544,0,18870,0,16074,0,2183,0,376,0,2322,0,14259,-1,190124,-5,765514,1,443300,0,0,0,91667,0,62500,0,945833,0,0,0,545833,0,0,0,908333,0,50000,0,12500,0,0,0,108333,0,770833,0,12500,0,0,0,0,0,158333,0,445833,0,0,0,387500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500,,
PP1,1,N,20120918T134800000,0,913245,0,886363,0,60794,0,4346,0,22887,0,4689,0,600,0,511,0,36010,-7,990625,-6,657941,2,735917,0,0,0,225000,0,258333,0,608333,0,4167,0,216667,0,0,0,812500,0,116667,0,0,0,0,0,4167,0,595833,0,195833,0,20833,0,0,0,16667,0,145833,0,0,0,133333,0,4167,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,525000,,
PP1,1,N,20120918T134900000,0,902109,0,927659,0,26521,0,5920,0,48402,0,2037,0,220,0,995,0,23555,-5,501612,-6,982495,3,20365,0,0,0,102128,0,76596,0,940426,0,0,0,608511,0,0,0,897872,0,46809,0,4255,0,0,0,34043,1,472340,0,0,0,0,0,0,0,38298,0,136170,0,0,0,110638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25532,,
PP1,1,N,20120918T135000000,0,912044,0,917911,0,12773,0,23054,0,30864,0,1376,0,518,0,7773,0,32716,-1,820326,-6,246733,1,145339,0,0,0,33473,0,4184,0,866109,0,0,0,594142,0,0,0,891213,0,71130,0,0,0,0,0,20921,1,682008,0,0,0,0,0,0,0,196653,0,744770,0,0,0,292887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4184,,
PP1,1,N,20120918T135100000,0,913472,0,943330,0,27025,0,14741,0,29083,0,1504,0,253,0,6628,0,13217,-1,600754,-6,406341,1,367108,0,0,0,125000,0,166667,0,929167,0,0,0,770833,0,0,0,937500,0,8333,0,8333,0,0,0,29167,1,800000,0,0,0,0,0,0,0,712500,1,20833,0,0,0,216667,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,79167,,
PP1,1,N,20120918T135200000,0,930500,0,905162,0,16462,0,34123,0,8002,0,2339,0,1287,0,8867,0,21776,3,793646,-5,514394,2,747025,0,0,0,8403,0,0,0,844538,0,12605,0,621849,0,0,0,932773,0,8403,0,4202,0,0,0,4202,1,436975,0,12605,0,0,0,0,0,201681,1,714286,0,0,0,453782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16807,,
PP1,1,N,20120918T135300000,0,927303,0,945835,0,14257,0,11717,0,8349,0,4703,0,639,0,4328,0,3479,0,784609,-5,327261,2,5521,0,0,0,8333,0,4167,0,891667,0,0,0,600000,0,0,0,950000,0,0,0,12500,0,0,0,241667,0,762500,0,112500,0,0,0,0,0,408333,0,975000,0,12500,0,320833,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,20833,,
PP1,1,N,20120918T135400000,0,926949,0,942789,0,18072,0,17676,0,4223,0,9565,0,553,0,2284,0,799,0,637305,-5,799698,2,359656,0,12876,0,34335,0,12876,0,630901,0,25751,0,313305,0,0,0,892704,0,25751,0,8584,0,0,0,304721,0,244635,0,17167,0,0,0,0,0,257511,0,759657,0,8584,0,193133,0,0,0,0,0,0,0,0,0,0,0,25751,0,0,0,0,0,51502,,
PP1,1,N,20120918T135500000,0,915064,0,853208,0,20857,0,40385,0,2886,0,14656,0,963,0,1898,0,20097,1,322903,-3,18830,0,971983,0,0,0,89686,0,134529,0,587444,0,0,0,278027,0,53812,0,932735,0,17937,0,0,0,0,0,134529,0,569507,0,578475,0,4484,0,0,0,17937,0,739910,0,26906,0,825112,0,0,0,0,0,0,0,4484,0,0,0,0,0,0,0,0,0,76233,,
PP1,1,N,20120918T135600000,0,909215,0,894231,0,24943,0,10304,0,10194,0,3926,0,932,0,303,0,7230,-5,365420,-5,61439,2,485215,0,0,0,89286,0,44643,0,758929,0,0,0,419643,0,0,0,915179,0,4464,0,22321,0,0,0,31250,0,500000,0,31250,0,0,0,4464,0,49107,0,31250,0,75893,0,84821,0,0,0,0,0,0,0,4464,0,0,0,0,0,0,0,0,0,22321,,
PP1,1,N,20120918T135700000,0,899179,0,669893,0,278053,0,20190,0,1694,0,1675,0,1526,0,1184,0,256195,-5,47445,-1,113816,-2,255996,0,165138,0,206422,0,160550,0,454128,0,0,0,0,0,13761,0,798165,0,0,0,146789,0,0,0,22936,0,0,0,151376,0,123853,0,0,0,27523,0,380734,0,518349,0,298165,0,0,0,0,0,0,0,0,0,0,0,564220,0,0,0,0,0,50459,,
PP1,1,N,20120918T135800000,0,917890,0,888868,0,44412,0,9394,0,3973,0,8977,0,628,0,427,0,32372,-4,580269,-3,3991,1,840332,0,0,0,133891,0,92050,0,292887,0,0,0,108787,0,41841,0,941423,0,25105,0,0,0,0,0,0,0,121339,0,677824,0,0,0,0,0,188285,0,83682,0,0,0,225941,0,12552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117155,,
PP1,1,N,20120918T135900000,0,926404,0,970189,0,14802,0,17630,0,4019,0,6496,0,207,0,693,0,4751,0,515234,-4,259675,1,88798,0,4167,0,66667,0,20833,0,550000,0,0,0,275000,0,0,0,866667,0,4167,0,8333,0,0,0,162500,0,287500,0,125000,0,0,0,0,0,112500,0,70833,0,0,0,350000,0,0,0,12500,0,0,0,0,0,0,0,4167,0,0,0,0,0,0,,
PP1,1,N,20120918T140000000,0,921082,0,885526,0,44342,0,25091,0,1875,0,9136,0,674,0,1052,0,18975,5,162865,-4,612110,3,236929,0,21645,0,56277,0,69264,0,307359,0,38961,0,199134,0,0,0,844156,0,34632,0,25974,0,0,0,203463,0,207792,0,60606,0,8658,0,0,0,138528,0,593074,0,125541,0,246753,0,12987,0,25974,0,0,0,0,0,25974,0,38961,0,0,0,0,0,116883,,
PP1,1,N,20120918T140100000,0,923578,0,949813,0,32004,0,19937,0,1480,0,7871,0,240,0,850,0,11904,4,236160,-5,38176,4,858640,0,0,0,23256,0,176744,0,395349,0,0,0,269767,0,0,0,920930,0,13953,0,4651,0,0,0,474419,0,297674,0,106977,0,4651,0,0,0,79070,0,655814,0,0,0,441860,0,23256,0,0,0,0,0,13953,0,0,0,0,0,0,0,0,0,97674,,
PP1,1,N,20120918T140200000,0,922022,0,969779,0,27260,0,15711,0,1671,0,2109,0,167,0,1953,0,11399,4,147607,-3,440255,3,160373,0,0,0,46414,0,257384,0,514768,0,4219,0,151899,0,0,0,932489,0,12658,0,8439,0,0,0,126582,0,206751,0,0,0,0,0,0,0,282700,0,763713,0,0,0,160338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202532,,
PP1,1,N,20120918T140300000,0,915397,0,828084,0,32666,0,33083,0,2384,0,19318,0,1690,0,2499,0,1076,1,938780,-3,461289,1,952663,0,0,0,86580,0,199134,0,450216,0,86580,0,229437,0,56277,0,948052,0,0,0,0,0,34632,0,220779,0,285714,0,536797,0,51948,0,0,0,415584,1,225108,0,34632,0,506494,0,8658,0,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,164502,,
PP1,1,N,20120918T140400000,0,916661,0,937730,0,29789,0,4901,0,3674,0,4508,0,912,0,425,0,22454,-2,952871,-6,585891,1,977909,0,0,0,137500,0,66667,0,491667,0,12500,0,116667,0,0,0,950000,0,25000,0,4167,0,0,0,29167,0,37500,0,304167,0,41667,0,0,0,16667,0,208333,0,33333,0,120833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112500,,
PP1,1,N,20120918T140500000,0,927393,0,934205,0,16862,0,37933,0,3735,0,1779,0,1159,0,2511,0,21409,4,374520,-6,258102,2,988668,0,0,0,4167,0,70833,0,712500,0,0,0,329167,0,0,0,945833,0,8333,0,0,0,0,0,12500,0,608333,0,45833,0,29167,0,0,0,204167,1,258333,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20833,,
PP1,1,N,20120918T140600000,0,887862,0,885076,0,28657,0,42331,0,7423,0,2495,0,557,0,13950,0,14763,-1,931658,-7,895509,1,917097,0,4695,0,37559,0,122066,0,502347,0,9390,0,183099,0,4695,0,882629,0,61033,0,0,0,37559,0,0,0,488263,0,0,0,0,0,0,0,0,0,591549,0,14085,0,122066,0,0,0,0,0,0,0,0,0,0,0,4695,0,0,0,0,0,75117,,
PP1,1,N,20120918T140700000,0,920286,0,961352,0,13652,0,15433,0,3702,0,1233,0,1419,0,2084,0,2473,0,882112,-9,322553,3,202898,0,0,0,0,0,79498,0,502092,0,16736,0,430962,0,0,0,920502,0,62762,0,0,0,0,0,16736,0,301255,0,12552,0,0,0,0,0,117155,1,878661,0,33473,0,338912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8368,,
PP1,2,R,20120918T142800000,0,906190,0,834903,0,50316,0,306,0,10375,0,3029,0,1143,0,171,0,39932,-14,737647,-4,575736,0,411224,0,0,0,29167,0,4167,0,0,0,25000,0,0,0,0,0,958333,0,12500,0,4167,0,0,0,0,0,0,0,529167,0,0,0,0,0,4167,0,270833,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T142900000,0,912270,0,615333,0,42639,0,170,0,8948,0,10035,0,1175,0,148,0,33691,-11,523349,-4,513128,3,373901,0,0,0,16736,0,0,0,0,0,0,0,0,0,0,0,983264,0,0,0,0,0,0,0,0,0,0,1,288703,0,0,0,0,0,230126,0,25105,0,0,0,0,0,4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143000000,0,917577,0,898919,0,60259,0,421,0,14692,0,1421,0,587,0,202,0,45563,-13,41487,-4,984813,3,778309,0,0,0,20833,0,16667,0,0,0,0,0,0,0,0,0,962500,0,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,0,29167,0,333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143100000,0,914289,0,896708,0,75377,0,2093,0,11941,0,2035,0,1715,0,289,0,61528,-12,193144,-4,664892,3,306310,0,0,0,108333,0,54167,0,0,0,141667,0,0,0,4167,0,979167,0,0,0,12500,0,12500,0,0,0,0,0,16667,0,0,0,0,0,175000,0,841667,0,0,0,37500,0,0,0,0,0,0,0,0,0,16667,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143200000,0,917699,0,824370,0,64240,0,408,0,11762,0,2744,0,313,0,172,0,52478,-12,83692,-4,341464,2,882017,0,0,0,0,0,0,0,0,0,62762,0,0,0,0,0,983264,0,0,0,0,0,0,0,0,0,0,0,29289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
PP1,2,R,20120918T143300000,0,893737,0,883340,0,70311,0,577,0,15623,0,2361,0,194,0,220,0,54688,-14,54333,-5,901704,8,210308,0,0,0,545833,0,512500,0,0,0,29167,0,0,0,0,0,991667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8333,,
PP1,2,T,20120918T143600000,0,912135,0,661038,0,101934,0,13877,0,46793,0,8881,0,2839,0,592,0,45870,1,163357,-3,270484,1,725228,0,34826,0,223881,0,69652,0,203980,0,0,0,134328,0,24876,0,895522,0,34826,0,9950,0,0,0,0,0,412935,0,398010,0,39801,0,0,0,79602,0,582090,0,298507,0,253731,0,0,0,0,0,0,0,0,0,0,0,54726,0,0,0,0,0,59701,,
PP1,2,T,20120918T143700000,0,942397,0,919370,0,23400,0,1097,0,4003,0,11349,0,1020,0,175,0,18933,-4,280590,-4,884915,3,515745,0,0,0,0,0,0,0,194805,0,242424,0,99567,0,25974,0,952381,0,8658,0,4329,0,0,0,0,0,212121,0,800866,0,0,0,0,0,82251,0,51948,0,0,0,112554,0,25974,0,0,0,0,0,4329,0,0,0,0,0,0,0,0,0,0,,
PP1,2,T,20120918T143800000,0,929274,0,822705,0,37806,0,4267,0,4809,0,14853,0,4721,0,217,0,29001,-5,469841,-2,759374,2,968646,0,125000,0,20833,0,12500,0,350000,0,133333,0,91667,0,29167,0,941667,0,20833,0,12500,0,0,0,37500,0,0,0,662500,0,0,0,0,0,58333,0,95833,0,0,0,37500,0,4167,0,0,0,0,0,0,0,0,0,266667,0,0,0,0,0,20833,,
PP1,2,T,20120918T143900000,0,940650,0,940751,0,24205,0,9933,0,3617,0,7610,0,763,0,213,0,11988,0,833254,-1,778769,1,603025,0,0,0,4167,0,16667,0,666667,0,4167,0,333333,0,0,0,958333,0,0,0,8333,0,0,0,12500,0,100000,0,412500,0,0,0,0,0,4167,0,104167,0,0,0,87500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8333,,
PP1,2,T,20120918T144000000,0,930971,0,946628,0,30082,0,14141,0,3737,0,3623,0,1451,0,921,0,14153,0,743667,-3,853812,2,299696,0,0,0,4184,0,12552,0,589958,0,0,0,158996,0,29289,0,953975,0,0,0,0,0,0,0,0,0,322176,0,338912,0,0,0,0,0,0,0,188285,0,0,0,83682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58577,,
PP1,2,T,20120918T144100000,0,923400,0,856662,0,41490,0,24151,0,2038,0,13621,0,1426,0,1361,0,16515,-1,138630,-2,789758,2,363215,0,0,0,12500,0,108333,0,283333,0,4167,0,125000,0,87500,0,958333,0,0,0,0,0,0,0,0,0,216667,0,791667,0,0,0,0,0,20833,0,329167,0,0,0,262500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83333,,
PP1,2,T,20120918T144200000,0,905628,0,851548,0,42177,0,18284,0,18467,0,11344,0,1045,0,2347,0,7336,0,764257,-1,722417,1,750476,0,4386,0,114035,0,153509,0,346491,0,26316,0,179825,0,57018,0,938596,0,4386,0,17544,0,0,0,0,0,442982,0,482456,0,0,0,0,0,52632,0,469298,0,0,0,175439,0,0,0,0,0,0,0,0,0,0,0,4386,0,0,0,0,0,219298,,
PP1,2,T,20120918T144300000,0,916370,0,863982,0,56916,0,6796,0,3169,0,11653,0,728,0,190,0,49236,-3,298473,-1,221689,1,218030,0,0,0,122363,0,46414,0,320675,0,59072,0,50633,0,215190,0,957806,0,8439,0,4219,0,0,0,0,0,88608,0,518987,0,0,0,0,0,0,0,0,0,0,0,25316,0,0,0,4219,0,0,0,4219,0,0,0,0,0,0,0,0,0,75949,,
